行号,路径
7110,V2融合世界标签体系/通用分类标签/人造物体/乐器/器械/光学仪器/投影仪/投影仪
7251,V2融合世界标签体系/通用分类标签/人造物体/体育器材/冰鞋/冰鞋
7258,V2融合世界标签体系/通用分类标签/人造物体/体育器材/冰鞋/直排轮滑鞋/直排轮滑鞋
7450,V2融合世界标签体系/通用分类标签/人造物体/切割器具/切削工具/刃具/刀/小折刀/小折刀
7485,V2融合世界标签体系/通用分类标签/人造物体/切割器具/钻头/钻头
7520,V2融合世界标签体系/通用分类标签/人造物体/动力工具/电钻/电钻
7822,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/制服/制服
7828,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/外套服装/礼服/礼服
7833,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/头具/兜帽/兜帽
7870,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/女装/女服/女夜礼服/女夜礼服
7885,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/工作服/工作服
7902,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/打扮/假发/假发
7961,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/不可言说之物/内裤/内裤
7962,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/不可言说之物/内裤/内裤
7963,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/不可言说之物/内裤/内裤
7982,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/围巾/头巾/头巾
8044,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/套头衫/套头衫
8139,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/长袍/长袍
8140,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/长袍/长袍
8254,V2融合世界标签体系/通用分类标签/人造物体/器具/器具
8298,V2融合世界标签体系/通用分类标签/人造物体/器具/木条/手杖/手杖
8314,V2融合世界标签体系/通用分类标签/人造物体/器具/杆/杆
8326,V2融合世界标签体系/通用分类标签/人造物体/器具/杆/杆/杆
8342,V2融合世界标签体系/通用分类标签/人造物体/器具/桨/桨
8464,V2融合世界标签体系/通用分类标签/人造物体/坐椅/凳子/凳子
8548,V2融合世界标签体系/通用分类标签/人造物体/婴儿床/婴儿床
8708,V2融合世界标签体系/通用分类标签/人造物体/容器/器皿/水盆/水盆
8732,V2融合世界标签体系/通用分类标签/人造物体/容器/器皿/瓶/烧瓶/保温瓶/保温瓶
8773,V2融合世界标签体系/通用分类标签/人造物体/容器/容器
8781,V2融合世界标签体系/通用分类标签/人造物体/容器/容器/托盘/托盘
8790,V2融合世界标签体系/通用分类标签/人造物体/容器/容器
8809,V2融合世界标签体系/通用分类标签/人造物体/容器/容器盒/手提箱/手提箱
8874,V2融合世界标签体系/通用分类标签/人造物体/容器/盒子/保险箱/保险箱
8954,V2融合世界标签体系/通用分类标签/人造物体/导体/电源线/电源线
8996,V2融合世界标签体系/通用分类标签/人造物体/建材/石头/磨刀石/磨刀石
9097,V2融合世界标签体系/通用分类标签/人造物体/扁平立体/板/跳板/跳板
9109,V2融合世界标签体系/通用分类标签/人造物体/扁平立体/铭牌/门牌/门牌
9127,V2融合世界标签体系/通用分类标签/人造物体/手工工具/开启器/开瓶器/开瓶器
9220,V2融合世界标签体系/通用分类标签/人造物体/指示器/指针/指针
9228,V2融合世界标签体系/通用分类标签/人造物体/按键/钥匙/万能钥匙/万能钥匙
9243,V2融合世界标签体系/通用分类标签/人造物体/挖掘/排水沟/排水沟
9388,V2融合世界标签体系/通用分类标签/人造物体/支持/结构构件/窗台/窗台
9398,V2融合世界标签体系/通用分类标签/人造物体/支持/起落架/起落架
9462,V2融合世界标签体系/通用分类标签/人造物体/机制/控制/调节器/水龙头/水龙头
9492,V2融合世界标签体系/通用分类标签/人造物体/机制/机器人/机器人
9558,V2融合世界标签体系/通用分类标签/人造物体/机制/机械装置/机器/车轮/车轮
9582,V2融合世界标签体系/通用分类标签/人造物体/机制/机械装置/螺旋桨/螺旋桨
9633,V2融合世界标签体系/通用分类标签/人造物体/机器/动力工具/电钻/电钻
9645,V2融合世界标签体系/通用分类标签/人造物体/机器/印刷机/打印机/点式打印机/喷墨打印机/喷墨打印机
9661,V2融合世界标签体系/通用分类标签/人造物体/机器/发动机/发动机
9698,V2融合世界标签体系/通用分类标签/人造物体/机器/投币式机器/自动售货机/自动售货机
9700,V2融合世界标签体系/通用分类标签/人造物体/机器/机器
9938,V2融合世界标签体系/通用分类标签/人造物体/浮子/浮子
10367,V2融合世界标签体系/通用分类标签/人造物体/电子设备/外围设备/打印机/点式打印机/喷墨打印机/喷墨打印机
10430,V2融合世界标签体系/通用分类标签/人造物体/电风扇/电风扇
10507,V2融合世界标签体系/通用分类标签/人造物体/约束/制动器/制动器
10570,V2融合世界标签体系/通用分类标签/人造物体/缓冲材料/垫子/垫子
10668,V2融合世界标签体系/通用分类标签/人造物体/表面/水平仪/平台/平台
10728,V2融合世界标签体系/通用分类标签/人造物体/装置/炉灶/练习场/射击场/射击场
10739,V2融合世界标签体系/通用分类标签/人造物体/装置/车站/加油站/加油站
10786,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/保护/屋顶/屋顶
10804,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/保护/屏幕/百叶窗帘/卷帘/卷帘
10812,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/保护/庇护所/华盖/伞/伞
10856,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/保护/鞘/鞘
10862,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/包装/保鲜膜/保鲜膜
10888,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/制服/制服
10894,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/外套服装/礼服/礼服
10899,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/头具/兜帽/兜帽
10936,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/女装/女服/女夜礼服/女夜礼服
10951,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/工作服/工作服
10968,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/打扮/假发/假发
11027,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/不可言说之物/内裤/内裤
11028,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/不可言说之物/内裤/内裤
11029,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/不可言说之物/内裤/内裤
11048,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/围巾/头巾/头巾
11110,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/套头衫/套头衫
11205,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/长袍/长袍
11206,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/长袍/长袍
11302,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/布罩/敷料/绑带/创可贴/创可贴
11333,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/盖子/盖子
11509,V2融合世界标签体系/通用分类标签/人造物体/道路/小径/人行横道/人行横道
11536,V2融合世界标签体系/通用分类标签/人造物体/道路/访问/入口/入口
11546,V2融合世界标签体系/通用分类标签/人造物体/道路/通道/导管/导管
11610,V2融合世界标签体系/通用分类标签/人造物体/钻/电钻/电钻
11803,V2融合世界标签体系/通用分类标签/动物/哺乳动物/啮齿动物/天竺鼠/天竺鼠
11818,V2融合世界标签体系/通用分类标签/动物/哺乳动物/啮齿动物/松鼠/松鼠
11943,V2融合世界标签体系/通用分类标签/动物/哺乳动物/犬科动物/家犬/布鲁塞尔格里芬犬/布鲁塞尔格里芬犬
12014,V2融合世界标签体系/通用分类标签/动物/哺乳动物/犬科动物/家犬/猎犬/猎犬
12037,V2融合世界标签体系/通用分类标签/动物/哺乳动物/犬科动物/家犬/猎犬/腊肠犬/腊肠犬
12135,V2融合世界标签体系/通用分类标签/动物/哺乳动物/马科动物/家马/坐骑/战马/战马
12413,V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/有蹄哺乳动物/偶蹄动物/反刍动物/牛科动物/羚羊/大捻角羚/大捻角羚
12480,V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/水栖哺乳动物/海牛/海牛
12502,V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/水栖哺乳动物/鲸目动物/鲸/齿鲸/海豚/海豚
12521,V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/灵长目/人科动物/人/人
12596,V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/食肉动物/浣熊/浣熊
12597,V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/食肉动物/浣熊/浣熊
12598,V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/食肉动物/浣熊/浣熊/浣熊
12603,V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/食肉动物/灵猫科动物/狐獴/狐獴
13234,V2融合世界标签体系/通用分类标签/动物/水生非哺乳生物/硬骨鱼/真骨鱼/棘鳍目鱼/愈颌目/刺鲀/刺鲀
13235,V2融合世界标签体系/通用分类标签/动物/水生非哺乳生物/硬骨鱼/真骨鱼/棘鳍目鱼/愈颌目/刺鲀/刺鲀
13250,V2融合世界标签体系/通用分类标签/动物/水生非哺乳生物/硬骨鱼/真骨鱼/棘鳍目鱼/金鳞鱼/金鳞鱼
13286,V2融合世界标签体系/通用分类标签/动物/水生非哺乳生物/硬骨鱼/真骨鱼/棘鳍目鱼/鲈形亚目鱼/河鲈/河鲈
13323,V2融合世界标签体系/通用分类标签/动物/水生非哺乳生物/硬骨鱼/真骨鱼/棘鳍目鱼/鲈形亚目鱼/蝴蝶鱼/蝴蝶鱼
13333,V2融合世界标签体系/通用分类标签/动物/水生非哺乳生物/硬骨鱼/真骨鱼/棘鳍目鱼/鲈形亚目鱼/鮨/海鲈/石斑鱼/石斑鱼
13789,V2融合世界标签体系/通用分类标签/动物/爬行动物/蛇类/蝰蛇/蝮蛇/响尾蛇/响尾蛇
13835,V2融合世界标签体系/通用分类标签/动物/爬行动物/龟鳖类/乌龟/海龟/丽龟/丽龟
13863,V2融合世界标签体系/通用分类标签/动物/爬行动物/双孔亚纲动物/蜥形动物/蜥蜴/巨蜥/巨蜥
14105,V2融合世界标签体系/通用分类标签/动物/鸟类/海鸟/北极海鹦/北极海鹦
14126,V2融合世界标签体系/通用分类标签/动物/鸟类/海鸟/海燕/海燕
14128,V2融合世界标签体系/通用分类标签/动物/鸟类/海鸟/海燕/海燕/海燕
14135,V2融合世界标签体系/通用分类标签/动物/鸟类/海鸟/海雀/海雀
14149,V2融合世界标签体系/通用分类标签/动物/鸟类/海鸟/鹈形目海鸟/塘鹅/塘鹅
14167,V2融合世界标签体系/通用分类标签/动物/鸟类/涉禽/丘鹬/丘鹬
14173,V2融合世界标签体系/通用分类标签/动物/鸟类/涉禽/千鸟/翻石鹬/翻石鹬
14227,V2融合世界标签体系/通用分类标签/动物/鸟类/涉禽/秧鸡/秧鸡
14372,V2融合世界标签体系/通用分类标签/动物/鸟类/鸣禽/太平鸟/太平鸟
14376,V2融合世界标签体系/通用分类标签/动物/鸟类/鸣禽/山雀/山雀
14377,V2融合世界标签体系/通用分类标签/动物/鸟类/鸣禽/山雀/山雀
14382,V2融合世界标签体系/通用分类标签/动物/鸟类/鸣禽/岩鹨/岩鹨
14419,V2融合世界标签体系/通用分类标签/动物/鸟类/鸣禽/燕子/崖沙燕/崖沙燕
14436,V2融合世界标签体系/通用分类标签/动物/鸟类/鸣禽/莺类鸣禽/戴菊/戴菊
14437,V2融合世界标签体系/通用分类标签/动物/鸟类/鸣禽/莺类鸣禽/戴菊/戴菊
14509,V2融合世界标签体系/通用分类标签/动物/鸟类/鸣禽/鸦科鸟类/喜鹊/喜鹊
14581,V2融合世界标签体系/通用分类标签/动物/鸟类/佛法僧目鸟类/戴胜/戴胜
14662,V2融合世界标签体系/通用分类标签/动物/鸟类/水禽/天鹅/小天鹅/小天鹅
14669,V2融合世界标签体系/通用分类标签/动物/鸟类/水禽/水禽
14682,V2融合世界标签体系/通用分类标签/动物/鸟类/水禽/水禽/雁形目鸟/鸭/斑背潜鸭/斑背潜鸭
14727,V2融合世界标签体系/通用分类标签/动物/鸟类/水禽/水禽/雁形目鸟/鹅/黑雁/黑雁
14729,V2融合世界标签体系/通用分类标签/动物/鸟类/水禽/水鸡/水鸡
14834,V2融合世界标签体系/通用分类标签/动物/鸟类/雀形目鸟类/霸鹟科鸟类/新世界霸鹟/东王霸鹟/东王霸鹟
14849,V2融合世界标签体系/通用分类标签/动物/鸟类/雀形目鸟类/鹪鹩/鹪鹩
14879,V2融合世界标签体系/通用分类标签/动物/鸟类/鸡形目鸟/原鸡/原鸡
15081,V2融合世界标签体系/通用分类标签/动物/后代/幼鸟/幼鸟
15082,V2融合世界标签体系/通用分类标签/动物/后代/幼鸟/幼鸟
15116,V2融合世界标签体系/通用分类标签/动物/幼虫/幼虫
15117,V2融合世界标签体系/通用分类标签/动物/幼虫/幼虫
15145,V2融合世界标签体系/通用分类标签/动物/役用动物/役用动物
15186,V2融合世界标签体系/通用分类标签/动物/无脊椎动物/节肢动物/介虫/十足目动物/大螯虾/大螯虾
15193,V2融合世界标签体系/通用分类标签/动物/无脊椎动物/节肢动物/介虫/十足目动物/螃蟹/三疣梭子蟹/三疣梭子蟹
15219,V2融合世界标签体系/通用分类标签/动物/无脊椎动物/节肢动物/昆虫/半翅目昆虫/半翅目昆虫
15229,V2融合世界标签体系/通用分类标签/动物/无脊椎动物/节肢动物/昆虫/双翅昆虫/苍蝇/丽蝇/丽蝇
15265,V2融合世界标签体系/通用分类标签/动物/无脊椎动物/节肢动物/昆虫/甲虫/叩头虫/叩头虫
15321,V2融合世界标签体系/通用分类标签/动物/无脊椎动物/节肢动物/昆虫/膜翅目昆虫/胡蜂/胡蜂
15342,V2融合世界标签体系/通用分类标签/动物/无脊椎动物/节肢动物/昆虫/蛹/蛹
15344,V2融合世界标签体系/通用分类标签/动物/无脊椎动物/节肢动物/昆虫/蜉蝣/蜉蝣
15355,V2融合世界标签体系/通用分类标签/动物/无脊椎动物/节肢动物/昆虫/鳞翅目昆虫/蛾/卷叶蛾/卷叶蛾
15363,V2融合世界标签体系/通用分类标签/动物/无脊椎动物/节肢动物/昆虫/鳞翅目昆虫/蛾/天蚕蛾/天蚕蛾
15369,V2融合世界标签体系/通用分类标签/动物/无脊椎动物/节肢动物/昆虫/鳞翅目昆虫/蛾/谷蛾/谷蛾
15416,V2融合世界标签体系/通用分类标签/动物/无脊椎动物/节肢动物/蛛形纲动物/螨/螨
15440,V2融合世界标签体系/通用分类标签/动物/无脊椎动物/贝类水产/单壳软体动物/海螺/帽贝/帽贝
15459,V2融合世界标签体系/通用分类标签/动物/无脊椎动物/贝类水产/双壳类/河蚌/河蚌
15525,V2融合世界标签体系/通用分类标签/动物/脊索动物/有颅动物/四足动物/四足动物
15542,V2融合世界标签体系/通用分类标签/动物/脊索动物/被囊动物/海鞘/海鞘
15804,V2融合世界标签体系/通用分类标签/场景/室内场景/餐厅/食堂/食堂
17360,V2融合世界标签体系/通用分类标签/建筑与基础设施/路桥隧道工程/公路/跑道/小径/滑雪道/滑雪道
17404,V2融合世界标签体系/通用分类标签/建筑与基础设施/H类住宅/住所/修道院回廊/修道院/修道院
17406,V2融合世界标签体系/通用分类标签/建筑与基础设施/H类住宅/住所/修道院回廊/修道院/修道院
17432,V2融合世界标签体系/通用分类标签/建筑与基础设施/H类住宅/联排住宅/联排住宅
17478,V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅/住所/修道院回廊/修道院/修道院
17480,V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅/住所/修道院回廊/修道院/修道院
17506,V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅/联排住宅/联排住宅
17522,V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/住处
17643,V2融合世界标签体系/通用分类标签/建筑与基础设施/区/围场/笼/笼
17674,V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室/储藏室/储藏室
17699,V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室/包房/飞机客舱/飞机客舱
17700,V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室/包房/飞机客舱/飞机客舱
17713,V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室/厕所/厕所
17748,V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室/娱乐室/娱乐室
17844,V2融合世界标签体系/通用分类标签/建筑与基础设施/塔/尖塔/尖塔
17855,V2融合世界标签体系/通用分类标签/建筑与基础设施/塔/钟塔/钟塔
17947,V2融合世界标签体系/通用分类标签/建筑与基础设施/投影/尖齿/尖齿
18075,V2融合世界标签体系/通用分类标签/建筑与基础设施/机构/商业机构/商业机构
18168,V2融合世界标签体系/通用分类标签/建筑与基础设施/爪/爪
18215,V2融合世界标签体系/通用分类标签/建筑与基础设施/管/容器/血管/血管
18278,V2融合世界标签体系/通用分类标签/建筑与基础设施/辎重/堵塞/塞子/塞子
19508,V2融合世界标签体系/通用分类标签/文字与信息图形/书面交流/原文/台词/台词
19522,V2融合世界标签体系/通用分类标签/文字与信息图形/书面交流/手写/字迹/编码系统/代码/软件/应用程序/应用程序
19530,V2融合世界标签体系/通用分类标签/文字与信息图形/书面交流/文学作品/小说/小说
19605,V2融合世界标签体系/通用分类标签/文字与信息图形/信号/代号/记号笔/标签/标签
20036,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/针叶树/侧柏/侧柏
20049,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/针叶树/南洋杉/南洋杉
20109,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/乔木
20115,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/八角/八角
20129,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/刺槐/刺槐
20265,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/开花乔木/果树/桑树/桑树
20413,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/棕榈/棕榈竹/棕榈竹
20482,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/金合欢/金合欢
20511,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/灌木/丝兰/丝兰
20512,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/灌木/丝兰/丝兰
20513,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/灌木/丝兰/丝兰
20533,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/灌木/亚灌木/牛蒡/牛蒡
20545,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/灌木/亚灌木/蒿属植物/艾蒿/艾蒿
20551,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/灌木/亚灌木/贯叶连翘/贯叶连翘
20583,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/灌木/山梅花/山梅花
20597,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/灌木/忍冬/忍冬
20608,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/灌木/月季/月季
21304,V2融合世界标签体系/通用分类标签/植物/草本竹藤植物/藤本植物/喇叭花/喇叭花
21310,V2融合世界标签体系/通用分类标签/植物/草本竹藤植物/藤本植物/壁梅/壁梅
21329,V2融合世界标签体系/通用分类标签/植物/草本竹藤植物/藤本植物/胡椒/胡椒
21337,V2融合世界标签体系/通用分类标签/植物/草本竹藤植物/藤本植物/葫芦/甜瓜/甜瓜
21343,V2融合世界标签体系/通用分类标签/植物/草本竹藤植物/藤本植物/葫芦/葫芦
21603,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物
21607,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/万寿菊/万寿菊
21630,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/兰科植物/兰科植物
21655,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/兰科植物/流苏兰/流苏兰
21660,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/兰科植物/火烧兰/火烧兰
21707,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/勋章菊/勋章菊
21714,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/向日葵/向日葵
21741,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/婆婆纳/婆婆纳
21742,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/婆婆纳/婆婆纳
21779,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/欧缬草/欧缬草
21840,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/罂粟/罂粟
21859,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/藿香蓟/藿香蓟
21864,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/雏菊/雏菊
21867,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/非洲菊/非洲菊
21971,V2融合世界标签体系/通用分类标签/植物/有毒植物/乌头/乌头
22269,V2融合世界标签体系/通用分类标签/植物/草本植物/五色草/五色草
22315,V2融合世界标签体系/通用分类标签/植物/草本植物/十字花科植物/卷心菜/卷心菜
22324,V2融合世界标签体系/通用分类标签/植物/草本植物/十字花科植物/羽衣甘蓝/羽衣甘蓝
22333,V2融合世界标签体系/通用分类标签/植物/草本植物/十字花科植物/萝卜/萝卜
22339,V2融合世界标签体系/通用分类标签/植物/草本植物/华丽景天/华丽景天
22351,V2融合世界标签体系/通用分类标签/植物/草本植物/友谊草/友谊草
22399,V2融合世界标签体系/通用分类标签/植物/草本植物/天竺葵/天竺葵
22408,V2融合世界标签体系/通用分类标签/植物/草本植物/姜/姜
22438,V2融合世界标签体系/通用分类标签/植物/草本植物/报春花/报春花
22452,V2融合世界标签体系/通用分类标签/植物/草本植物/旱金莲/旱金莲
22456,V2融合世界标签体系/通用分类标签/植物/草本植物/景天/景天
22459,V2融合世界标签体系/通用分类标签/植物/草本植物/月见草/月见草
22509,V2融合世界标签体系/通用分类标签/植物/草本植物/火把莲/火把莲
22551,V2融合世界标签体系/通用分类标签/植物/草本植物/繁缕/繁缕
22580,V2融合世界标签体系/通用分类标签/植物/草本植物/莴苣/莴苣
22988,V2融合世界标签体系/通用分类标签/真菌与微生物/菌类/光木耳/光木耳
22996,V2融合世界标签体系/通用分类标签/真菌与微生物/菌类/地衣/地衣
23008,V2融合世界标签体系/通用分类标签/真菌与微生物/菌类/担子菌/伞菌/伞菌
24110,V2融合世界标签体系/通用分类标签/自然景观/侧面/山坡/山坡
24184,V2融合世界标签体系/通用分类标签/自然景观/天然覆盖物/体表覆盖物/头发/发型/发型
24190,V2融合世界标签体系/通用分类标签/自然景观/天然覆盖物/体表覆盖物/头发/发型/辫子/辫子
24244,V2融合世界标签体系/通用分类标签/自然景观/山口/山口
24269,V2融合世界标签体系/通用分类标签/自然景观/岸/岸
24442,V2融合世界标签体系/通用分类标签/自然景观/植物结构/植物器官/生殖结构/果子/葫芦/葫芦
24772,V2融合世界标签体系/通用分类标签/行为动作/休闲娱乐动作/游戏/体育游戏/户外游戏/场地运动/橄榄球/橄榄球
24773,V2融合世界标签体系/通用分类标签/行为动作/休闲娱乐动作/游戏/体育游戏/户外游戏/场地运动/橄榄球/橄榄球
25747,V2融合世界标签体系/通用分类标签/行为动作/社交互动动作/聚会/一双/一双
25754,V2融合世界标签体系/通用分类标签/行为动作/社交互动动作/聚会/会议/会议
