标签名,出现次数,位置(行号:路径)
潜水服,6,8086:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/潜水服 || 8087:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/潜水服 || 8173:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/防护服装/潜水服 || 11152:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/潜水服 || 11153:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/潜水服 || 11239:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/防护服装/潜水服
紧身衣,6,8090:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/紧身衣 || 8091:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/紧身衣 || 8182:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/鞋子/袜类/紧身裤袜/紧身衣 || 11156:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/紧身衣 || 11157:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/紧身衣 || 11248:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/鞋子/袜类/紧身裤袜/紧身衣
背心,6,8093:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/背心 || 8095:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/背心 || 8108:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/衬衣/背心 || 11159:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/背心 || 11161:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/背心 || 11174:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/衬衣/背心
萝卜,6,22331:V2融合世界标签体系/通用分类标签/植物/草本植物/十字花科植物/萝卜 || 22333:V2融合世界标签体系/通用分类标签/植物/草本植物/十字花科植物/萝卜/萝卜 || 22692:V2融合世界标签体系/通用分类标签/植物/萝卜 || 24347:V2融合世界标签体系/通用分类标签/自然景观/植物结构/植物器官/根/萝卜 || 29073:V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/十字花科蔬菜/萝卜 || 29119:V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/根菜类/萝卜
部分,6,3146:V2融合世界标签体系/通用分类标签/人物与人体/部分 || 19193:V2融合世界标签体系/通用分类标签/文化艺术与媒介/部分 || 19194:V2融合世界标签体系/通用分类标签/文化艺术与媒介/部分 || 19545:V2融合世界标签体系/通用分类标签/文字与信息图形/书面交流/部分 || 19660:V2融合世界标签体系/通用分类标签/文字与信息图形/听觉交流/部分 || 31285:V2融合世界标签体系/通用分类标签/属性与状态/部分
长袍,6,8135:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/长袍 || 8139:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/长袍/长袍 || 8140:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/长袍/长袍 || 11201:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/长袍 || 11205:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/长袍/长袍 || 11206:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/长袍/长袍
一股烟气,5,5042:V2融合世界标签体系/通用分类标签/人造物体/家居软装小件/床上用品/一股烟气 || 8462:V2融合世界标签体系/通用分类标签/人造物体/坐椅/一股烟气 || 26734:V2融合世界标签体系/通用分类标签/行为动作/气流/阵风/一股烟气 || 29455:V2融合世界标签体系/通用分类标签/食物/烘焙食品/糕点/一股烟气 || 29875:V2融合世界标签体系/通用分类标签/声音/一股烟气
上升,5,24107:V2融合世界标签体系/通用分类标签/自然景观/侧面/上升 || 25898:V2融合世界标签体系/通用分类标签/行为动作/上升 || 25899:V2融合世界标签体系/通用分类标签/行为动作/上升 || 26052:V2融合世界标签体系/通用分类标签/行为动作/位置变化/上升 || 31323:V2融合世界标签体系/通用分类标签/时间数量与度量/上升
乐队,5,6899:V2融合世界标签体系/通用分类标签/人造物体/箱包首饰/珠宝首饰/乐队 || 9732:V2融合世界标签体系/通用分类标签/人造物体/条带/乐队 || 10104:V2融合世界标签体系/通用分类标签/人造物体/点缀/装饰/乐队 || 10501:V2融合世界标签体系/通用分类标签/人造物体/约束/乐队 || 23631:V2融合世界标签体系/通用分类标签/组织机构与社会事件/音乐组织/乐团/乐队
书,5,18740:V2融合世界标签体系/通用分类标签/文化艺术与媒介/产品/书 || 18748:V2融合世界标签体系/通用分类标签/文化艺术与媒介/产品/书 || 18796:V2融合世界标签体系/通用分类标签/文化艺术与媒介/出版物/书 || 19546:V2融合世界标签体系/通用分类标签/文字与信息图形/书面交流/部分/书 || 19661:V2融合世界标签体系/通用分类标签/文字与信息图形/听觉交流/部分/书
会议,5,19646:V2融合世界标签体系/通用分类标签/文字与信息图形/听觉交流/言语/会议 || 23509:V2融合世界标签体系/通用分类标签/组织机构与社会事件/会议 || 25753:V2融合世界标签体系/通用分类标签/行为动作/社交互动动作/聚会/会议 || 25754:V2融合世界标签体系/通用分类标签/行为动作/社交互动动作/聚会/会议/会议 || 25756:V2融合世界标签体系/通用分类标签/行为动作/社交互动动作/聚会/会议/会议
伪装,5,7666:V2融合世界标签体系/通用分类标签/人造物体/台布/伪装 || 7897:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/打扮/伪装 || 10963:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/打扮/伪装 || 11292:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/屏幕/伪装 || 30929:V2融合世界标签体系/通用分类标签/属性与状态/外表/表象/伪装
信封,5,3464:V2融合世界标签体系/通用分类标签/人造物体/办公文具/信封 || 8595:V2融合世界标签体系/通用分类标签/人造物体/容器/信封 || 8607:V2融合世界标签体系/通用分类标签/人造物体/容器/包/信封 || 10864:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/包装/信封 || 24200:V2融合世界标签体系/通用分类标签/自然景观/天然覆盖物/信封
公寓,5,16162:V2融合世界标签体系/通用分类标签/场景/自然户外场景/田野/公寓 || 17411:V2融合世界标签体系/通用分类标签/建筑与基础设施/H类住宅/公寓 || 17485:V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅/公寓 || 17525:V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/住处/公寓 || 17527:V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/公寓
内衣,5,6105:V2融合世界标签体系/通用分类标签/人造物体/服饰全品/内衣 || 7951:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/不可言说之物/内衣 || 7954:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/不可言说之物/内衣/女内衣/内衣 || 11017:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/不可言说之物/内衣 || 11020:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/不可言说之物/内衣/女内衣/内衣
冰,5,2275:V2融合世界标签体系/通用分类标签/人物与人体/冰 || 6910:V2融合世界标签体系/通用分类标签/人造物体/箱包首饰/珠宝首饰/宝石/钻石/冰 || 18158:V2融合世界标签体系/通用分类标签/建筑与基础设施/溜冰场/冰 || 29756:V2融合世界标签体系/通用分类标签/食物/路线/点心/冷冻甜点/冰 || 30834:V2融合世界标签体系/通用分类标签/属性与状态/冰
凉亭,5,8310:V2融合世界标签体系/通用分类标签/人造物体/器具/杆/旋转轴/凉亭 || 17395:V2融合世界标签体系/通用分类标签/建筑与基础设施/H类住宅/乡村别墅/凉亭 || 17469:V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅/乡村别墅/凉亭 || 17558:V2融合世界标签体系/通用分类标签/建筑与基础设施/凉亭 || 17986:V2融合世界标签体系/通用分类标签/建筑与基础设施/支承结构/构架/凉亭
区域,5,2498:V2融合世界标签体系/通用分类标签/人物与人体/区域 || 2501:V2融合世界标签体系/通用分类标签/人物与人体/区域 || 18815:V2融合世界标签体系/通用分类标签/文化艺术与媒介/区域 || 18820:V2融合世界标签体系/通用分类标签/文化艺术与媒介/区域 || 32248:V2融合世界标签体系/通用分类标签/知识与学科/点/地形点/区域
发动机,5,1060:V2融合世界标签体系/通用分类标签/交通工具/轮式车辆/自行式车辆/发动机 || 7126:V2融合世界标签体系/通用分类标签/人造物体/乐器/器械/发动机 || 9660:V2融合世界标签体系/通用分类标签/人造物体/机器/发动机 || 9661:V2融合世界标签体系/通用分类标签/人造物体/机器/发动机/发动机 || 30154:V2融合世界标签体系/通用分类标签/声音/发动机
响尾蛇,5,680:V2融合世界标签体系/通用分类标签/交通工具/公共运输/列车/响尾蛇 || 7336:V2融合世界标签体系/通用分类标签/人造物体/信号装置/钟/响尾蛇 || 8537:V2融合世界标签体系/通用分类标签/人造物体/声学装置/钟/响尾蛇 || 13785:V2融合世界标签体系/通用分类标签/动物/爬行动物/蛇类/蝰蛇/蝮蛇/响尾蛇 || 13789:V2融合世界标签体系/通用分类标签/动物/爬行动物/蛇类/蝰蛇/蝮蛇/响尾蛇/响尾蛇
大豆,5,20774:V2融合世界标签体系/通用分类标签/植物/农作物/大豆 || 22614:V2融合世界标签体系/通用分类标签/植物/草本植物/豆科植物/大豆 || 24434:V2融合世界标签体系/通用分类标签/自然景观/植物结构/植物器官/生殖结构/果子/种子/豆/大豆 || 28392:V2融合世界标签体系/通用分类标签/食物/调味品/大豆 || 29153:V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/豆科植物/蚕豆/大豆
小径,5,11507:V2融合世界标签体系/通用分类标签/人造物体/道路/小径 || 17358:V2融合世界标签体系/通用分类标签/建筑与基础设施/路桥隧道工程/公路/跑道/小径 || 32355:V2融合世界标签体系/通用分类标签/知识与学科/线/小径 || 32359:V2融合世界标签体系/通用分类标签/知识与学科/线/小径 || 32360:V2融合世界标签体系/通用分类标签/知识与学科/线/小径/小径
库存,5,853:V2融合世界标签体系/通用分类标签/交通工具/库存 || 9312:V2融合世界标签体系/通用分类标签/人造物体/支持/库存 || 21753:V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/库存 || 21754:V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/库存 || 28881:V2融合世界标签体系/通用分类标签/食物/一道菜/汤/库存
座位,5,855:V2融合世界标签体系/通用分类标签/交通工具/座位 || 9314:V2融合世界标签体系/通用分类标签/人造物体/支持/座位 || 11297:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/布罩/座位 || 18878:V2融合世界标签体系/通用分类标签/文化艺术与媒介/座位 || 31971:V2融合世界标签体系/通用分类标签/知识与学科/中央/座位
手套,5,6195:V2融合世界标签体系/通用分类标签/人造物体/服饰全品/手套 || 7262:V2融合世界标签体系/通用分类标签/人造物体/体育器材/拳击装备/手套 || 7283:V2融合世界标签体系/通用分类标签/人造物体/体育器材/棒球器材/手套 || 7888:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/手部穿戴物/手套 || 10954:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/手部穿戴物/手套
手指,5,2616:V2融合世界标签体系/通用分类标签/人物与人体/外部身体部位/成员/手指 || 2617:V2融合世界标签体系/通用分类标签/人物与人体/外部身体部位/成员/手指/手指 || 2630:V2融合世界标签体系/通用分类标签/人物与人体/外部身体部位/肢端/手指 || 11317:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/手指 || 31313:V2融合世界标签体系/通用分类标签/时间数量与度量/一定量/整数/手指
打印机,5,2417:V2融合世界标签体系/通用分类标签/人物与人体/劳动者/技术工人/打印机 || 5800:V2融合世界标签体系/通用分类标签/人造物体/数码 3C 电子/打印机 || 9642:V2融合世界标签体系/通用分类标签/人造物体/机器/印刷机/打印机 || 10364:V2融合世界标签体系/通用分类标签/人造物体/电子设备/外围设备/打印机 || 29981:V2融合世界标签体系/通用分类标签/声音/事物声音/机制/打印机
