类型,行号,路径
facet父节点与实体名不一致,33106,V2融合世界标签体系/IP 分类标签/真人与人物 IP/科学文化人物/科学文化人物类别—呈现载体
facet父节点与实体名不一致,33123,V2融合世界标签体系/IP 分类标签/真人与人物 IP/虚拟偶像/虚拟偶像类别—传播范围
facet父节点与实体名不一致,33127,V2融合世界标签体系/IP 分类标签/真人与人物 IP/虚拟偶像/虚拟偶像类别—呈现载体
facet父节点与实体名不一致,33154,V2融合世界标签体系/IP 分类标签/真人与人物 IP/音乐艺人/音乐艺人类别—传播范围
facet父节点与实体名不一致,33158,V2融合世界标签体系/IP 分类标签/真人与人物 IP/音乐艺人/音乐艺人类别—呈现载体
facet父节点与实体名不一致,33174,V2融合世界标签体系/IP 分类标签/虚构角色与形象 IP/动漫角色/动漫角色类别—传播范围
facet父节点与实体名不一致,33178,V2融合世界标签体系/IP 分类标签/虚构角色与形象 IP/动漫角色/动漫角色类别—呈现载体
facet父节点与实体名不一致,33188,V2融合世界标签体系/IP 分类标签/虚构角色与形象 IP/品牌吉祥物/品牌吉祥物类别—传播范围
facet父节点与实体名不一致,33192,V2融合世界标签体系/IP 分类标签/虚构角色与形象 IP/品牌吉祥物/品牌吉祥物类别—呈现载体
facet父节点与实体名不一致,33205,V2融合世界标签体系/IP 分类标签/虚构角色与形象 IP/城市文旅吉祥物/城市吉祥物/城市吉祥物类别—传播范围
facet父节点与实体名不一致,33209,V2融合世界标签体系/IP 分类标签/虚构角色与形象 IP/城市文旅吉祥物/城市吉祥物/城市吉祥物类别—呈现载体
facet父节点与实体名不一致,33222,V2融合世界标签体系/IP 分类标签/虚构角色与形象 IP/影视角色/影视角色类别—传播范围
facet父节点与实体名不一致,33226,V2融合世界标签体系/IP 分类标签/虚构角色与形象 IP/影视角色/影视角色类别—呈现载体
facet父节点与实体名不一致,33258,V2融合世界标签体系/IP 分类标签/虚构角色与形象 IP/游戏角色/游戏角色类别—传播范围
facet父节点与实体名不一致,33262,V2融合世界标签体系/IP 分类标签/虚构角色与形象 IP/游戏角色/游戏角色类别—呈现载体
facet父节点与实体名不一致,33272,V2融合世界标签体系/IP 分类标签/虚构角色与形象 IP/神话角色/神话角色类别—传播范围
facet父节点与实体名不一致,33276,V2融合世界标签体系/IP 分类标签/虚构角色与形象 IP/神话角色/神话角色类别—呈现载体
