标签名,出现次数,位置(行号:路径)
头巾,4,5735:V2融合世界标签体系/通用分类标签/人造物体/服饰全品/帽子/女帽/头巾 || 7448:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/头具/头巾 || 7574:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/围巾/头巾 || 9185:V2融合世界标签体系/通用分类标签/人造物体/条带/乐队/头巾
女王,4,2537:V2融合世界标签体系/通用分类标签/人物与人体/拟人化/女王 || 11102:V2融合世界标签体系/通用分类标签/动物/哺乳动物/猫科动物/猫/家猫/女王 || 14164:V2融合世界标签体系/通用分类标签/动物/无脊椎动物/节肢动物/昆虫/女王 || 29993:V2融合世界标签体系/通用分类标签/材料与物质/纸/卡/扑克牌/人头牌/女王
学院,4,15597:V2融合世界标签体系/通用分类标签/建筑与基础设施/公共服务建筑/学校/中学/学院 || 16614:V2融合世界标签体系/通用分类标签/建筑与基础设施/复合体/学院 || 21982:V2融合世界标签体系/通用分类标签/组织机构与社会事件/身体/学院 || 29713:V2融合世界标签体系/通用分类标签/时间数量与度量/行政单位/部门/学院
容器,4,2524:V2融合世界标签体系/通用分类标签/人物与人体/所有者/容器 || 8120:V2融合世界标签体系/通用分类标签/人造物体/容器 || 16927:V2融合世界标签体系/通用分类标签/建筑与基础设施/管/容器 || 30344:V2融合世界标签体系/通用分类标签/知识与学科/配件/容器
弓,4,3069:V2融合世界标签体系/通用分类标签/人造物体/五金工具/紧固件/结/弓 || 9512:V2融合世界标签体系/通用分类标签/人造物体/点缀/弓 || 10634:V2融合世界标签体系/通用分类标签/人造物体/武器/弓 || 29391:V2融合世界标签体系/通用分类标签/属性与状态/线/曲线/弓
手套,4,5868:V2融合世界标签体系/通用分类标签/人造物体/服饰全品/手套 || 6925:V2融合世界标签体系/通用分类标签/人造物体/体育器材/拳击装备/手套 || 6946:V2融合世界标签体系/通用分类标签/人造物体/体育器材/棒球器材/手套 || 7487:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/手部穿戴物/手套
打印机,4,2207:V2融合世界标签体系/通用分类标签/人物与人体/劳动者/技术工人/打印机 || 5477:V2融合世界标签体系/通用分类标签/人造物体/数码 3C 电子/打印机 || 9096:V2融合世界标签体系/通用分类标签/人造物体/机器/印刷机/打印机 || 28274:V2融合世界标签体系/通用分类标签/声音/事物声音/机制/打印机
支架,4,7005:V2融合世界标签体系/通用分类标签/人造物体/假牙/支架 || 8815:V2融合世界标签体系/通用分类标签/人造物体/支持/支架 || 9247:V2融合世界标签体系/通用分类标签/人造物体/桌子/支架 || 16740:V2融合世界标签体系/通用分类标签/建筑与基础设施/支承结构/构架/支架
敬礼,4,18400:V2融合世界标签体系/通用分类标签/文字与信息图形/感谢/迎接/敬礼 || 18409:V2融合世界标签体系/通用分类标签/文字与信息图形/批准/识别/敬礼 || 24750:V2融合世界标签体系/通用分类标签/行为动作/去/问候/敬礼 || 24825:V2融合世界标签体系/通用分类标签/行为动作/姿势/敬礼
文件,4,2491:V2融合世界标签体系/通用分类标签/人物与人体/布置/队列/形成物/文件 || 4394:V2融合世界标签体系/通用分类标签/人造物体/家具大件/办公家具/文件 || 8637:V2融合世界标签体系/通用分类标签/人造物体/手工工具/文件 || 18432:V2融合世界标签体系/通用分类标签/文字与信息图形/指示/记录/文件
斑点,4,7063:V2融合世界标签体系/通用分类标签/人造物体/光源/灯/斑点 || 9487:V2融合世界标签体系/通用分类标签/人造物体/点缀/人物形象/标记行为/斑点 || 9491:V2融合世界标签体系/通用分类标签/人造物体/点缀/人物形象/标记行为/斑点/斑疹/斑点 || 16805:V2融合世界标签体系/通用分类标签/建筑与基础设施/机构/商业机构/斑点
日期,4,27548:V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/日期 || 29611:V2融合世界标签体系/通用分类标签/时间数量与度量/基本量/一段时间/日历日/日期 || 29619:V2融合世界标签体系/通用分类标签/时间数量与度量/基本量/一段时间/日历月/日期 || 29672:V2融合世界标签体系/通用分类标签/时间数量与度量/时间单位/24小时/日期
板,4,8575:V2融合世界标签体系/通用分类标签/人造物体/扁平立体/板 || 9222:V2融合世界标签体系/通用分类标签/人造物体/桌子/板 || 10016:V2融合世界标签体系/通用分类标签/人造物体/表面/板 || 29709:V2融合世界标签体系/通用分类标签/时间数量与度量/行政单位/委员会/板
栗子,4,11176:V2融合世界标签体系/通用分类标签/动物/哺乳动物/马科动物/家马/栗子 || 18975:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/栗子 || 22975:V2融合世界标签体系/通用分类标签/自然景观/植物结构/植物器官/生殖结构/果子/种子/坚果/食用坚果/栗子 || 29900:V2融合世界标签体系/通用分类标签/材料与物质/植物材料/木/栗子
海豹,4,2188:V2融合世界标签体系/通用分类标签/人物与人体/劳动者/技术工人/军事人员群体/水兵/海豹 || 3055:V2融合世界标签体系/通用分类标签/人造物体/五金工具/紧固件/海豹 || 9369:V2融合世界标签体系/通用分类标签/人造物体/海豹 || 11508:V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/水栖哺乳动物/鳍足动物/海豹
灰色,4,7525:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/灰色 || 11152:V2融合世界标签体系/通用分类标签/动物/哺乳动物/马科动物/家马/坐骑/灰色 || 29438:V2融合世界标签体系/通用分类标签/属性与状态/视觉属性/颜色/无彩色/灰色 || 30947:V2融合世界标签体系/IP 分类标签/真人与人物 IP/科学文化人物/作家/灰色
牦牛,4,11378:V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/有蹄哺乳动物/偶蹄动物/反刍动物/牛科动物/牛属动物/印度瘤牛/牦牛 || 11397:V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/有蹄哺乳动物/偶蹄动物/反刍动物/牛科动物/牛属动物/野牛/牦牛 || 13973:V2融合世界标签体系/通用分类标签/动物/农场动物/牛亚科/牦牛 || 24219:V2融合世界标签体系/通用分类标签/行为动作/社交互动动作/交谈/牦牛
竞速者,4,760:V2融合世界标签体系/通用分类标签/交通工具/司机/竞速者 || 1040:V2融合世界标签体系/通用分类标签/交通工具/轮式车辆/自行式车辆/机动车/竞速者 || 12739:V2融合世界标签体系/通用分类标签/动物/爬行动物/蛇类/游蛇科蛇/竞速者 || 14397:V2融合世界标签体系/通用分类标签/动物/竞速者
篮球,4,6440:V2融合世界标签体系/通用分类标签/人造物体/益智玩具/篮球 || 6958:V2融合世界标签体系/通用分类标签/人造物体/体育器材/篮球器材/篮球 || 9411:V2融合世界标签体系/通用分类标签/人造物体/游戏器材/球/篮球 || 23309:V2融合世界标签体系/通用分类标签/行为动作/休闲娱乐动作/游戏/体育游戏/场地球类运动/篮球
纹理,4,29050:V2融合世界标签体系/通用分类标签/属性与状态/作品/纹理 || 29128:V2融合世界标签体系/通用分类标签/属性与状态/声音属性/纹理 || 29415:V2融合世界标签体系/通用分类标签/属性与状态/视觉属性/纹理 || 29442:V2融合世界标签体系/通用分类标签/属性与状态/触觉属性/纹理
线,4,9921:V2融合世界标签体系/通用分类标签/人造物体/线 || 21892:V2融合世界标签体系/通用分类标签/组织机构与社会事件/企业/承运人/线 || 29380:V2融合世界标签体系/通用分类标签/属性与状态/线 || 30316:V2融合世界标签体系/通用分类标签/知识与学科/线
绵羊,4,2067:V2融合世界标签体系/通用分类标签/人物与人体/傻瓜/绵羊 || 11398:V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/有蹄哺乳动物/偶蹄动物/反刍动物/牛科动物/绵羊 || 11407:V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/有蹄哺乳动物/偶蹄动物/反刍动物/牛科动物/绵羊/家羊/绵羊 || 13976:V2融合世界标签体系/通用分类标签/动物/农场动物/绵羊
萝卜,4,20839:V2融合世界标签体系/通用分类标签/植物/草本植物/十字花科植物/萝卜 || 22917:V2融合世界标签体系/通用分类标签/自然景观/植物结构/植物器官/根/萝卜 || 27437:V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/十字花科蔬菜/萝卜 || 27482:V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/根菜类/萝卜
蚕豆,4,19619:V2融合世界标签体系/通用分类标签/植物/农作物/蚕豆 || 27510:V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/豆科植物/蚕豆 || 27519:V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/豆科植物/蚕豆/菜豆/鲜豆/食荚豆/蚕豆 || 28124:V2融合世界标签体系/通用分类标签/食物/饲料/蚕豆
角,4,8685:V2融合世界标签体系/通用分类标签/人造物体/报警系统/角 || 29307:V2融合世界标签体系/通用分类标签/属性与状态/无定形/角 || 29787:V2融合世界标签体系/通用分类标签/材料与物质/动物材料/角 || 30240:V2融合世界标签体系/通用分类标签/知识与学科/点/角
警报器,4,6735:V2融合世界标签体系/通用分类标签/人造物体/乐器/器械/仪器/时计/时钟/警报器 || 8091:V2融合世界标签体系/通用分类标签/人造物体/声学装置/警报器 || 8687:V2融合世界标签体系/通用分类标签/人造物体/报警系统/警报器 || 28315:V2融合世界标签体系/通用分类标签/声音/事物声音/警报器
通道,4,10492:V2融合世界标签体系/通用分类标签/人造物体/道路/通道 || 16208:V2融合世界标签体系/通用分类标签/建筑与基础设施/路桥隧道工程/公路/通道 || 16963:V2融合世界标签体系/通用分类标签/建筑与基础设施/走廊/通道 || 25260:V2融合世界标签体系/通用分类标签/行为动作/状态变化/通道
闪光,4,7263:V2融合世界标签体系/通用分类标签/人造物体/台布/一块布/补丁/闪光 || 25432:V2融合世界标签体系/通用分类标签/行为动作/闪光 || 29147:V2融合世界标签体系/通用分类标签/属性与状态/外表/面容/表达/闪光 || 29412:V2融合世界标签体系/通用分类标签/属性与状态/视觉属性/亮度/闪光
一餐,3,27380:V2融合世界标签体系/通用分类标签/食物/一餐 || 28067:V2融合世界标签体系/通用分类标签/食物/食品/一餐 || 29548:V2融合世界标签体系/通用分类标签/时间数量与度量/关头/一餐
丁字裤,3,7556:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/不可言说之物/内裤/丁字裤 || 7946:V2融合世界标签体系/通用分类标签/人造物体/器具/皮带/丁字裤 || 10330:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/足部装备/鞋/凉鞋/丁字裤
三柱门,3,6927:V2融合世界标签体系/通用分类标签/人造物体/体育器材/板球装备/三柱门 || 8508:V2融合世界标签体系/通用分类标签/人造物体/开口/三柱门 || 17004:V2融合世界标签体系/通用分类标签/建筑与基础设施/辎重/屏障/可移动屏障/大门/三柱门
丝,3,7268:V2融合世界标签体系/通用分类标签/人造物体/台布/丝 || 29777:V2融合世界标签体系/通用分类标签/材料与物质/动物材料/动物产品/动物纤维/丝 || 29859:V2融合世界标签体系/通用分类标签/材料与物质/天然纤维/动物纤维/丝
主人,3,2427:V2融合世界标签体系/通用分类标签/人物与人体/大人/主人 || 2754:V2融合世界标签体系/通用分类标签/人物与人体/表演者/主人 || 9050:V2融合世界标签体系/通用分类标签/人造物体/机器/信息处理系统/主人
乒乓球,3,6207:V2融合世界标签体系/通用分类标签/人造物体/益智玩具/乒乓球 || 9388:V2融合世界标签体系/通用分类标签/人造物体/游戏器材/球/乒乓球 || 23372:V2融合世界标签体系/通用分类标签/行为动作/休闲娱乐动作/游戏/桌上游戏/乒乓球
乒乓球拍,3,7802:V2融合世界标签体系/通用分类标签/人造物体/器具/体育用具/乒乓球拍 || 7808:V2融合世界标签体系/通用分类标签/人造物体/器具/体育用具/球拍/乒乓球拍 || 7847:V2融合世界标签体系/通用分类标签/人造物体/器具/木条/俱乐部/板球棒/桨/乒乓球拍
书,3,17399:V2融合世界标签体系/通用分类标签/文化艺术与媒介/产品/书 || 17449:V2融合世界标签体系/通用分类标签/文化艺术与媒介/出版物/书 || 18178:V2融合世界标签体系/通用分类标签/文字与信息图形/书面交流/部分/书
云杉松,3,18635:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/针叶树/云杉/云杉松 || 18657:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/针叶树/松属植物/云杉松 || 18684:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/针叶树/毒芹/云杉松
井,3,8187:V2融合世界标签体系/通用分类标签/人造物体/容器/器皿/井 || 8709:V2融合世界标签体系/通用分类标签/人造物体/挖掘/井 || 10540:V2融合世界标签体系/通用分类标签/人造物体/道路/通道/走廊/轴杆/井
人物形象,3,9461:V2融合世界标签体系/通用分类标签/人造物体/点缀/人物形象 || 17532:V2融合世界标签体系/通用分类标签/文化艺术与媒介/插图/人物形象 || 29023:V2融合世界标签体系/通用分类标签/属性与状态/人物形象
人行道,3,6846:V2融合世界标签体系/通用分类标签/人造物体/人行道 || 10064:V2融合世界标签体系/通用分类标签/人造物体/表面/水平仪/铺装表面/人行道 || 23221:V2融合世界标签体系/通用分类标签/行为动作/交通出行动作/步行/人行道
仪式,3,21880:V2融合世界标签体系/通用分类标签/组织机构与社会事件/事务/仪式 || 24471:V2融合世界标签体系/通用分类标签/行为动作/仪式 || 24927:V2融合世界标签体系/通用分类标签/行为动作/惯例/习俗/仪式
住所,3,8711:V2融合世界标签体系/通用分类标签/人造物体/挖掘/住所 || 15480:V2融合世界标签体系/通用分类标签/场景/栖息地/住所 || 16270:V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅/住所
侦探,3,1764:V2融合世界标签体系/通用分类标签/人物与人体/专家/调查员/侦探 || 2047:V2融合世界标签体系/通用分类标签/人物与人体/保护者/保护器/执法人员/官员/侦探 || 10306:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/足部装备/套鞋/侦探
保姆,3,1350:V2融合世界标签体系/通用分类标签/人物与人体/性别与生理属性/女性/女人/保姆 || 2410:V2融合世界标签体系/通用分类标签/人物与人体/大人/专业人员/初级保健提供者/保姆 || 11365:V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/有蹄哺乳动物/偶蹄动物/反刍动物/牛科动物/山羊/保姆
停止,3,8962:V2融合世界标签体系/通用分类标签/人造物体/机制/机械装置/停止 || 21957:V2融合世界标签体系/通用分类标签/组织机构与社会事件/收场/停止 || 30224:V2融合世界标签体系/通用分类标签/知识与学科/点/地形点/停止
傍晚,3,23402:V2融合世界标签体系/通用分类标签/行为动作/休闲娱乐动作/阅读/时候/小时/傍晚 || 29587:V2融合世界标签体系/通用分类标签/时间数量与度量/基本量/一段时间/傍晚 || 29621:V2融合世界标签体系/通用分类标签/时间数量与度量/基本量/一段时间/日间/傍晚
储物柜,3,3025:V2融合世界标签体系/通用分类标签/人造物体/五金工具/紧固件/储物柜 || 4446:V2融合世界标签体系/通用分类标签/人造物体/家具大件/储物柜 || 16462:V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室/包房/储物柜
光盘,3,5396:V2融合世界标签体系/通用分类标签/人造物体/数码 3C 电子/存储设备/光盘 || 8938:V2融合世界标签体系/通用分类标签/人造物体/机制/旋转机构/回合/光盘 || 28922:V2融合世界标签体系/通用分类标签/声音/频道/声音重放/光盘
公园,3,16092:V2融合世界标签体系/通用分类标签/建筑与基础设施/文化体育建筑/体育场/公园 || 29056:V2融合世界标签体系/通用分类标签/属性与状态/公园 || 30026:V2融合世界标签体系/通用分类标签/知识与学科/一块土地/公园
公牛,3,2048:V2融合世界标签体系/通用分类标签/人物与人体/保护者/保护器/执法人员/官员/公牛 || 11349:V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/公牛 || 11383:V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/有蹄哺乳动物/偶蹄动物/反刍动物/牛科动物/牛属动物/家牛/公牛
内衣,3,5778:V2融合世界标签体系/通用分类标签/人造物体/服饰全品/内衣 || 7548:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/不可言说之物/内衣 || 7551:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/不可言说之物/内衣/女内衣/内衣
冰,3,6584:V2融合世界标签体系/通用分类标签/人造物体/箱包首饰/珠宝首饰/宝石/钻石/冰 || 16881:V2融合世界标签体系/通用分类标签/建筑与基础设施/溜冰场/冰 || 28020:V2融合世界标签体系/通用分类标签/食物/路线/点心/冷冻甜点/冰
冰淇淋甜筒,3,8012:V2融合世界标签体系/通用分类标签/人造物体/圆锥体/冰淇淋甜筒 || 8124:V2融合世界标签体系/通用分类标签/人造物体/容器/冰淇淋甜筒 || 28022:V2融合世界标签体系/通用分类标签/食物/路线/点心/冷冻甜点/冰淇淋甜筒
冷凝器,3,6860:V2融合世界标签体系/通用分类标签/人造物体/仪器/冷凝器 || 7038:V2融合世界标签体系/通用分类标签/人造物体/光学设备/透镜/冷凝器 || 9662:V2融合世界标签体系/通用分类标签/人造物体/电力设备/冷凝器
凉亭,3,7865:V2融合世界标签体系/通用分类标签/人造物体/器具/杆/旋转轴/凉亭 || 16267:V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅/乡村别墅/凉亭 || 16724:V2融合世界标签体系/通用分类标签/建筑与基础设施/支承结构/构架/凉亭
凤凰木,3,18723:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/凤凰木 || 18796:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/开花乔木/凤凰木 || 19173:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/灌木/开花灌木/凤凰木
刀片,3,7083:V2融合世界标签体系/通用分类标签/人造物体/切割器具/刀片 || 8933:V2融合世界标签体系/通用分类标签/人造物体/机制/旋转机构/刀片 || 22894:V2融合世界标签体系/通用分类标签/自然景观/植物结构/植物器官/叶/刀片
划水动作,3,24684:V2融合世界标签体系/通用分类标签/行为动作/划水动作 || 25127:V2融合世界标签体系/通用分类标签/行为动作/机动动作/划水动作 || 25309:V2融合世界标签体系/通用分类标签/行为动作/移动/划水动作
刺,3,2340:V2融合世界标签体系/通用分类标签/人物与人体/器官/刺 || 2649:V2融合世界标签体系/通用分类标签/人物与人体/植物过程/刺 || 24687:V2融合世界标签体系/通用分类标签/行为动作/划水动作/一击/刺
刻度盘,3,8692:V2融合世界标签体系/通用分类标签/人造物体/指示器/刻度盘 || 8911:V2融合世界标签体系/通用分类标签/人造物体/机制/控制/开关/选择器/刻度盘 || 10003:V2融合世界标签体系/通用分类标签/人造物体/表面/侧面/前面/脸/刻度盘
