行号(全部出现位置),标签名,出现次数,父节点路径
5131;5140,吸尘器,2,V2融合世界标签体系/通用分类标签/人造物体/家用电器
5720;5728,唱片,2,V2融合世界标签体系/通用分类标签/人造物体/数码 3C 电子/存储设备
6057;6060,女帽,2,V2融合世界标签体系/通用分类标签/人造物体/服饰全品/帽子
6062;6063,宽边帽,2,V2融合世界标签体系/通用分类标签/人造物体/服饰全品/帽子
6075;6076;6077,泳帽,3,V2融合世界标签体系/通用分类标签/人造物体/服饰全品/帽子
6931;6932,飞行员太阳镜,2,V2融合世界标签体系/通用分类标签/人造物体/箱包首饰/眼镜/墨镜
7255;7256,四轮旱冰鞋,2,V2融合世界标签体系/通用分类标签/人造物体/体育器材/冰鞋
7317;7319,便利设施,2,V2融合世界标签体系/通用分类标签/人造物体
7354;7355,浴室柜,2,V2融合世界标签体系/通用分类标签/人造物体/储藏柜
7358;7359,边柜,2,V2融合世界标签体系/通用分类标签/人造物体/储藏柜
7376;7377,变焦镜头,2,V2融合世界标签体系/通用分类标签/人造物体/光学设备/透镜/光学透镜
7430;7431,剃刀片,2,V2融合世界标签体系/通用分类标签/人造物体/切割器具/刀片
7440;7441,凿子,2,V2融合世界标签体系/通用分类标签/人造物体/切割器具/切削工具/刃具
7532;7533,医疗设备,2,V2融合世界标签体系/通用分类标签/人造物体
7540;7541,单人床,2,V2融合世界标签体系/通用分类标签/人造物体/卧室家具/床
7567;7568,卷发器,2,V2融合世界标签体系/通用分类标签/人造物体
7581;7582,化妆镜,2,V2融合世界标签体系/通用分类标签/人造物体/反射器/反射镜
7618;7620,前帆,2,V2融合世界标签体系/通用分类标签/人造物体/台布/一块布/帆
7654;7655,丝绒,2,V2融合世界标签体系/通用分类标签/人造物体/台布
7696;7697;7699,帆布,3,V2融合世界标签体系/通用分类标签/人造物体/台布
7762;7765,网眼织物,2,V2融合世界标签体系/通用分类标签/人造物体/台布
7837;7838,安全帽,2,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/头具/兜鍪
7839;7840,摩托车头盔,2,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/头具/兜鍪
7879;7880,蕾丝连衣裙,2,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/女装/女服
7909;7910,万圣节服装,2,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/打扮/剧装
7961;7962;7963,内裤,3,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/不可言说之物/内裤
7980;7981,头巾,2,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/围巾
8005;8006,牛仔夹克,2,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/外衣/外套/夹克
8007;8008,皮夹克,2,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/外衣/外套/夹克
8030;8031,披肩,2,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/外衣/披风
8065;8066,铅笔裙,2,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/女裙
8086;8087,潜水服,2,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服
8090;8091,紧身衣,2,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服
8093;8095,背心,2,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服
8098;8099;8100,T恤,3,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/衬衣
8109;8131,裤子,2,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服
8139;8140,长袍,2,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/长袍
8156;8157,时尚配饰,2,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/装备
8261;8262,打蛋器,2,V2融合世界标签体系/通用分类标签/人造物体/器具/器具/厨房用具/厨房搅拌器
8308;8309,传动轴,2,V2融合世界标签体系/通用分类标签/人造物体/器具/杆/旋转轴
8434;8441,夹具,2,V2融合世界标签体系/通用分类标签/人造物体/固定装置
8449;8450,捕鼠器,2,V2融合世界标签体系/通用分类标签/人造物体/圈套
8491;8492,电脑椅,2,V2融合世界标签体系/通用分类标签/人造物体/坐椅/椅子
8512;8513,瓷砖,2,V2融合世界标签体系/通用分类标签/人造物体/块状物/厚板/瓦
8559;8560,唱片,2,V2融合世界标签体系/通用分类标签/人造物体/媒介
8610;8612,塑料袋,2,V2融合世界标签体系/通用分类标签/人造物体/容器/包
8615;8616,尿布包,2,V2融合世界标签体系/通用分类标签/人造物体/容器/包
8695;8696,玻璃花瓶,2,V2融合世界标签体系/通用分类标签/人造物体/容器/器皿/广口容器/花瓶
8736;8737,玻璃水瓶,2,V2融合世界标签体系/通用分类标签/人造物体/容器/器皿/瓶
8749;8750,玻璃碗,2,V2融合世界标签体系/通用分类标签/人造物体/容器/器皿/碗
8756;8757,花盆,2,V2融合世界标签体系/通用分类标签/人造物体/容器/器皿
8773;8790,容器,2,V2融合世界标签体系/通用分类标签/人造物体/容器
8794;8796,容器盒,2,V2融合世界标签体系/通用分类标签/人造物体/容器
8858;8860,葡萄酒杯,2,V2融合世界标签体系/通用分类标签/人造物体/容器/杯子
8904;8905,鞋盒,2,V2融合世界标签体系/通用分类标签/人造物体/容器/盒子
9098;9099,餐具柜,2,V2融合世界标签体系/通用分类标签/人造物体/扁平立体/板
9212;9213,指针,2,V2融合世界标签体系/通用分类标签/人造物体/指示器
9238;9240,壕沟,2,V2融合世界标签体系/通用分类标签/人造物体/挖掘/排水沟
9281;9282,副翼,2,V2融合世界标签体系/通用分类标签/人造物体/操纵台面
9285;9286,扰流板,2,V2融合世界标签体系/通用分类标签/人造物体/操纵台面
9317;9318,婴儿座椅,2,V2融合世界标签体系/通用分类标签/人造物体/支持/座位
9343;9344,支架,2,V2融合世界标签体系/通用分类标签/人造物体/支持
9368;9369,灯柱,2,V2融合世界标签体系/通用分类标签/人造物体/支持/结构构件/垂直方向/柱子
9385;9386,窗台,2,V2融合世界标签体系/通用分类标签/人造物体/支持/结构构件
9391;9392,肋骨,2,V2融合世界标签体系/通用分类标签/人造物体/支持
9508;9512,卷绕器,2,V2融合世界标签体系/通用分类标签/人造物体/机制/机械装置
9509;9511,卷盘,2,V2融合世界标签体系/通用分类标签/人造物体/机制/机械装置/卷绕器
9547;9550,水轮,2,V2融合世界标签体系/通用分类标签/人造物体/机制/机械装置/机器/车轮
9634;9635,印刷机,2,V2融合世界标签体系/通用分类标签/人造物体/机器
9745;9746,腕带,2,V2融合世界标签体系/通用分类标签/人造物体/条带/乐队
9748;9749,臂带,2,V2融合世界标签体系/通用分类标签/人造物体/条带/乐队
9773;9778,桌子,2,V2融合世界标签体系/通用分类标签/人造物体
9776;9777,餐桌,2,V2融合世界标签体系/通用分类标签/人造物体/桌子/板
9781;9782,写字台,2,V2融合世界标签体系/通用分类标签/人造物体/桌子/书桌
9784;9785,办公桌,2,V2融合世界标签体系/通用分类标签/人造物体/桌子/书桌
9824;9825,扑克桌,2,V2融合世界标签体系/通用分类标签/人造物体/桌子/赌桌
9830;9831,梳子,2,V2融合世界标签体系/通用分类标签/人造物体
9844;9845,比基尼上衣,2,V2融合世界标签体系/通用分类标签/人造物体
9847;9848,气球拱门,2,V2融合世界标签体系/通用分类标签/人造物体
9900;9901,眼影,2,V2融合世界标签体系/通用分类标签/人造物体/洗漱用品/化妆品/化妆
9909;9910,发胶,2,V2融合世界标签体系/通用分类标签/人造物体/洗漱用品
9965;9967,台球,2,V2融合世界标签体系/通用分类标签/人造物体/游戏器材/球
9982;9983,橄榄球,2,V2融合世界标签体系/通用分类标签/人造物体/游戏器材/球
10169;10207,玩具,2,V2融合世界标签体系/通用分类标签/人造物体
10175;10176,呼啦圈,2,V2融合世界标签体系/通用分类标签/人造物体/玩具
10284;10293,电池,2,V2融合世界标签体系/通用分类标签/人造物体/电力设备
10291;10292,便携式电池,2,V2融合世界标签体系/通用分类标签/人造物体/电力设备/电池
10325;10326,屏幕,2,V2融合世界标签体系/通用分类标签/人造物体/电子器件/指示器
10395;10396,付费电话,2,V2融合世界标签体系/通用分类标签/人造物体/电子设备/电话
10402;10403,有线电话,2,V2融合世界标签体系/通用分类标签/人造物体/电子设备/电话
10405;10407,监控器,2,V2融合世界标签体系/通用分类标签/人造物体/电子设备
10434;10435,白板,2,V2融合世界标签体系/通用分类标签/人造物体
10480;10489,粉底,2,V2融合世界标签体系/通用分类标签/人造物体
10505;10506,制动器,2,V2融合世界标签体系/通用分类标签/人造物体/约束
10512;10513,口套,2,V2融合世界标签体系/通用分类标签/人造物体/约束
10533;10540,粗绳,2,V2融合世界标签体系/通用分类标签/人造物体/线
10553;10554,细绳,2,V2融合世界标签体系/通用分类标签/人造物体/线/索
10575;10576,鼠标垫,2,V2融合世界标签体系/通用分类标签/人造物体/缓冲材料/垫子/垫子
10634;10635,台面,2,V2融合世界标签体系/通用分类标签/人造物体/表面/工作台面
10654;10655,木地板,2,V2融合世界标签体系/通用分类标签/人造物体/表面/水平仪/地板
10656;10657,玻璃地板,2,V2融合世界标签体系/通用分类标签/人造物体/表面/水平仪/地板
10669;10670,上层甲板,2,V2融合世界标签体系/通用分类标签/人造物体/表面/水平仪/平台/平台
10672;10673,着陆甲板,2,V2融合世界标签体系/通用分类标签/人造物体/表面/水平仪/平台/平台
10698;10699,机场跑道,2,V2融合世界标签体系/通用分类标签/人造物体/表面/水平仪/铺装表面/跑道
10721;10722,植物园,2,V2融合世界标签体系/通用分类标签/人造物体/装置
10729;10735,球场,2,V2融合世界标签体系/通用分类标签/人造物体/装置
10762;10764,兜帽,2,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/保护
10793;10798,屏幕,2,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/保护
10903;10904,安全帽,2,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/头具/兜鍪
10905;10906,摩托车头盔,2,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/头具/兜鍪
10945;10946,蕾丝连衣裙,2,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/女装/女服
10975;10976,万圣节服装,2,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/打扮/剧装
11027;11028;11029,内裤,3,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/不可言说之物/内裤
11046;11047,头巾,2,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/围巾
11071;11072,牛仔夹克,2,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/外衣/外套/夹克
11073;11074,皮夹克,2,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/外衣/外套/夹克
11096;11097,披肩,2,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/外衣/披风
11131;11132,铅笔裙,2,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/女裙
11152;11153,潜水服,2,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服
11156;11157,紧身衣,2,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服
11159;11161,背心,2,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服
11164;11165;11166,T恤,3,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/衬衣
11175;11197,裤子,2,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服
11205;11206,长袍,2,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/长袍
11222;11223,时尚配饰,2,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/装备
11264;11265,地垫,2,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/地板蒙布
11307;11308,眼罩,2,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/布罩
11324;11325,抽油烟机,2,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/排气罩
11387;11388,皮鞋,2,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/足部装备/鞋
11393;11394,高跟鞋,2,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/足部装备/鞋
11449;11484,连接,2,V2融合世界标签体系/通用分类标签/人造物体
11501;11502,通风机,2,V2融合世界标签体系/通用分类标签/人造物体
11508;11510,人行横道,2,V2融合世界标签体系/通用分类标签/人造物体/道路/小径
11571;11572,橡胶软管,2,V2融合世界标签体系/通用分类标签/人造物体/道路/通道/导管/管/软管
11711;11714;11715,树蛙,3,V2融合世界标签体系/通用分类标签/动物/两栖动物
11805;11810,家鼠,2,V2融合世界标签体系/通用分类标签/动物/哺乳动物/啮齿动物
11894;11895,小狗,2,V2融合世界标签体系/通用分类标签/动物/哺乳动物/犬科动物/家犬
12043;12044,敏狐,2,V2融合世界标签体系/通用分类标签/动物/哺乳动物/犬科动物/狐
12110;12111,虎猫,2,V2融合世界标签体系/通用分类标签/动物/哺乳动物/猫科动物/猫/野猫
12142;12146,小型马,2,V2融合世界标签体系/通用分类标签/动物/哺乳动物/马科动物/家马
12223;12224,针鼹,2,V2融合世界标签体系/通用分类标签/动物/哺乳动物/原兽类动物/单孔目动物
12371;12372,公牛,2,V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/有蹄哺乳动物/偶蹄动物/反刍动物/牛科动物/牛属动物/家牛
12414;12415;12416,大羚羊,3,V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/有蹄哺乳动物/偶蹄动物/反刍动物/牛科动物/羚羊
12440;12442;12443,加拿大马鹿,3,V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/有蹄哺乳动物/偶蹄动物/反刍动物/鹿
12485;12486,小须鲸,2,V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/水栖哺乳动物/鲸目动物/鲸/须鲸/一种鲸鱼
12497;12500,宽吻海豚,2,V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/水栖哺乳动物/鲸目动物/鲸/齿鲸/海豚
12508;12509,毛皮海豹,2,V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/水栖哺乳动物/鳍足动物/海豹/小耳朵海豹
12584;12585,二趾树懒,2,V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/贫齿类动物/树懒
12596;12597,浣熊,2,V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/食肉动物/浣熊
13234;13235,刺鲀,2,V2融合世界标签体系/通用分类标签/动物/水生非哺乳生物/硬骨鱼/真骨鱼/棘鳍目鱼/愈颌目/刺鲀
13283;13288,河鲈,2,V2融合世界标签体系/通用分类标签/动物/水生非哺乳生物/硬骨鱼/真骨鱼/棘鳍目鱼/鲈形亚目鱼
13306;13309,石首鱼,2,V2融合世界标签体系/通用分类标签/动物/水生非哺乳生物/硬骨鱼/真骨鱼/棘鳍目鱼/鲈形亚目鱼/石首鱼科的鱼
13412;13413,锦鲤,2,V2融合世界标签体系/通用分类标签/动物/水生非哺乳生物/硬骨鱼/真骨鱼/软鳍鱼/鲤形目鱼类/鲤科鱼/鲤鱼
13445;13446,沙洲鲨,2,V2融合世界标签体系/通用分类标签/动物/水生非哺乳生物/软骨鱼/板鳃类鱼/鲨鱼/真鲨
13756;13759,绿蛇,2,V2融合世界标签体系/通用分类标签/动物/爬行动物/蛇类/游蛇科蛇
14058;14059,小鸡,2,V2融合世界标签体系/通用分类标签/动物/鸟类/家禽/原鸡
14069;14070,烤鸡,2,V2融合世界标签体系/通用分类标签/动物/鸟类/家禽
14074;14075,鸭,2,V2融合世界标签体系/通用分类标签/动物/鸟类/家禽
14133;14134,小海雀,2,V2融合世界标签体系/通用分类标签/动物/鸟类/海鸟/海雀
14144;14147,塘鹅,2,V2融合世界标签体系/通用分类标签/动物/鸟类/海鸟/鹈形目海鸟
14145;14146,白鹈鹕,2,V2融合世界标签体系/通用分类标签/动物/鸟类/海鸟/鹈形目海鸟/塘鹅
14176;14177,叫鹤,2,V2融合世界标签体系/通用分类标签/动物/鸟类/涉禽
14185;14186,圣鹮,2,V2融合世界标签体系/通用分类标签/动物/鸟类/涉禽/朱鹭
14237;14238,大白鹭,2,V2融合世界标签体系/通用分类标签/动物/鸟类/涉禽/苍鹭/白鹭
14239;14240,小白鹭,2,V2融合世界标签体系/通用分类标签/动物/鸟类/涉禽/苍鹭/白鹭
14256;14257,裸颈鹳,2,V2融合世界标签体系/通用分类标签/动物/鸟类/涉禽/鹳
14289;14291,角鸮,2,V2融合世界标签体系/通用分类标签/动物/鸟类/猛禽/夜鸟
14298;14299,白尾海雕,2,V2融合世界标签体系/通用分类标签/动物/鸟类/猛禽/朱庇特之鸟/海雕
14331;14332,红隼,2,V2融合世界标签体系/通用分类标签/动物/鸟类/猛禽/鹰/猎鹰
14376;14377,山雀,2,V2融合世界标签体系/通用分类标签/动物/鸟类/鸣禽/山雀
14411;14412,钟鹊,2,V2融合世界标签体系/通用分类标签/动物/鸟类/鸣禽/澳洲喜鹊
14415;14416,双色树燕,2,V2融合世界标签体系/通用分类标签/动物/鸟类/鸣禽/燕子
14418;14421,崖沙燕,2,V2融合世界标签体系/通用分类标签/动物/鸟类/鸣禽/燕子
14423;14425,百灵,2,V2融合世界标签体系/通用分类标签/动物/鸟类/鸣禽
14436;14437,戴菊,2,V2融合世界标签体系/通用分类标签/动物/鸟类/鸣禽/莺类鸣禽/戴菊
14486;14487,朱顶雀,2,V2融合世界标签体系/通用分类标签/动物/鸟类/鸣禽/雀科鸟
14531;14532,欧歌鸫,2,V2融合世界标签体系/通用分类标签/动物/鸟类/鸣禽/鸫
14695;14696,普通秋沙鸭,2,V2融合世界标签体系/通用分类标签/动物/鸟类/水禽/水禽/雁形目鸟/鸭/海鸭/秋沙鸭
14711;14712,野鸭,2,V2融合世界标签体系/通用分类标签/动物/鸟类/水禽/水禽/雁形目鸟/鸭
14995;14998,凤头鹦鹉,2,V2融合世界标签体系/通用分类标签/动物/鸟类/鹦鹉
15067;15068,小牛,2,V2融合世界标签体系/通用分类标签/动物/后代/幼年哺乳动物
15072;15073;15074,幼兽,3,V2融合世界标签体系/通用分类标签/动物/后代/幼年哺乳动物
15081;15082,幼鸟,2,V2融合世界标签体系/通用分类标签/动物/后代/幼鸟
15088;15089,宠物,2,V2融合世界标签体系/通用分类标签/动物
15116;15117,幼虫,2,V2融合世界标签体系/通用分类标签/动物/幼虫
15125;15126,尺蠖,2,V2融合世界标签体系/通用分类标签/动物/幼虫/毛毛虫
15176;15177,海洋无脊椎动物,2,V2融合世界标签体系/通用分类标签/动物/无脊椎动物
15437;15443,海螺,2,V2融合世界标签体系/通用分类标签/动物/无脊椎动物/贝类水产/单壳软体动物
15473;15474,乌贼,2,V2融合世界标签体系/通用分类标签/动物/无脊椎动物/贝类水产/头足类/十腕亚目动物
15489;15490,渔村,2,V2融合世界标签体系/通用分类标签/动物
15496;15497,犬种,2,V2融合世界标签体系/通用分类标签/动物
15504;15505,兽群,2,V2融合世界标签体系/通用分类标签/动物/生物类群/动物组
15533;15534,观赏鱼,2,V2融合世界标签体系/通用分类标签/动物/脊索动物/有颅动物/水生脊椎动物/鱼
15537;15538,羊膜动物,2,V2融合世界标签体系/通用分类标签/动物/脊索动物/有颅动物
15571;15572,钓鱼,2,V2融合世界标签体系/通用分类标签/动物
15724;15725,市场摊位,2,V2融合世界标签体系/通用分类标签/场景/室内场景/商店/摊子/售货处
15734;15735,服装店,2,V2融合世界标签体系/通用分类标签/场景/室内场景/商店
15742;15743;15744,理发店,3,V2融合世界标签体系/通用分类标签/场景/室内场景/商店
15758;15759,幼儿园教室,2,V2融合世界标签体系/通用分类标签/场景/室内场景/教室
15782;15783,精品酒店,2,V2融合世界标签体系/通用分类标签/场景/室内场景/酒店
15801;15802,西餐厅,2,V2融合世界标签体系/通用分类标签/场景/室内场景/餐厅
16177;16187,球场,2,V2融合世界标签体系/通用分类标签/场景/自然户外场景/田野
16195;16196,野生田野,2,V2融合世界标签体系/通用分类标签/场景/自然户外场景/田野
16599;16600,室内按摩浴缸,2,V2融合世界标签体系/通用分类标签/场景
16630;16631,篝火,2,V2融合世界标签体系/通用分类标签/场景
16724;16725,自然历史博物馆,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/公共服务建筑/博物馆
16948;16949,市场广场,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/商业办公建筑/市场
16956;16957,花卉市场,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/商业办公建筑/市场
16961;16962,露天市场,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/商业办公建筑/市场
16975;16976,储蓄罐,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/商业办公建筑/银行
17048;17049,亚洲寺庙,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/宗教祭祀建筑/寺庙
17060;17061,主教座堂,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/宗教祭祀建筑/教堂
17352;17353,沙漠公路,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/路桥隧道工程/公路
17367;17368,街道,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/路桥隧道工程/公路/通道
17398;17401,住所,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/H类住宅
17403;17405,修道院,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/H类住宅/住所/修道院回廊
17404;17406,修道院,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/H类住宅/住所/修道院回廊/修道院
17425;17426,狩猎小屋,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/H类住宅
17429;17430,石屋,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/H类住宅
17465;17521,住处,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅
17472;17475,住所,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅
17477;17479,修道院,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅/住所/修道院回廊
17478;17480,修道院,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅/住所/修道院回廊/修道院
17499;17500,狩猎小屋,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅
17503;17504,石屋,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅
17528;17529,单间公寓,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/公寓
17540;17541,住宅区,2,V2融合世界标签体系/通用分类标签/建筑与基础设施
17551;17552,公寓楼外部,2,V2融合世界标签体系/通用分类标签/建筑与基础设施
17651;17658,天井,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/区
17653;17654,公共中庭,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/区/天井/中庭
17666;17667,休息室,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室
17670;17671;17672,会议室,3,V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室
17688;17689,客舱,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室/包房
17699;17700,飞机客舱,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室/包房/飞机客舱
17708;17709,客房,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室/卧室
17735;17736,会议厅,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室/大厅
17756;17757,客厅,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室/接待室
17763;17764,更衣室,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室
