行号,标签名,路径,疑似问题
30945,多雪的,V2融合世界标签体系/通用分类标签/属性与状态/多雪的,形容词误作节点
30946,多雾的,V2融合世界标签体系/通用分类标签/属性与状态/多雾的,形容词误作节点
30950,极小的,V2融合世界标签体系/通用分类标签/属性与状态/大小/大小/极小的,形容词误作节点
30956,天蓝色+的,V2融合世界标签体系/通用分类标签/属性与状态/天蓝色+的,含'+'残留符号;形容词误作节点
30957,太阳+的,V2融合世界标签体系/通用分类标签/属性与状态/太阳+的,含'+'残留符号;形容词误作节点
30960,好看+的,V2融合世界标签体系/通用分类标签/属性与状态/好看+的,含'+'残留符号;形容词误作节点
30962,宗教+的,V2融合世界标签体系/通用分类标签/属性与状态/宗教+的,含'+'残留符号;形容词误作节点
30963,害怕的,V2融合世界标签体系/通用分类标签/属性与状态/害怕的,形容词误作节点
30964,宽+的,V2融合世界标签体系/通用分类标签/属性与状态/宽+的,含'+'残留符号;形容词误作节点
30971,巨大+的,V2融合世界标签体系/通用分类标签/属性与状态/巨大+的,含'+'残留符号;形容词误作节点
30979,平静的,V2融合世界标签体系/通用分类标签/属性与状态/平静的,形容词误作节点
30980,幸福+的,V2融合世界标签体系/通用分类标签/属性与状态/幸福+的,含'+'残留符号;形容词误作节点
30983,开放+的,V2融合世界标签体系/通用分类标签/属性与状态/开放+的,含'+'残留符号;形容词误作节点
30986,弄脏+的,V2融合世界标签体系/通用分类标签/属性与状态/弄脏+的,含'+'残留符号;形容词误作节点
31065,径直+的,V2融合世界标签体系/通用分类标签/属性与状态/径直+的,含'+'残留符号;形容词误作节点
31066,微湿+的,V2融合世界标签体系/通用分类标签/属性与状态/微湿+的,含'+'残留符号;形容词误作节点
31067,微黄色+的,V2融合世界标签体系/通用分类标签/属性与状态/微黄色+的,含'+'残留符号;形容词误作节点
31070,恋爱+的,V2融合世界标签体系/通用分类标签/属性与状态/恋爱+的,含'+'残留符号;形容词误作节点
31071,悲伤的,V2融合世界标签体系/通用分类标签/属性与状态/悲伤的,形容词误作节点
31087,抽出鞘+的,V2融合世界标签体系/通用分类标签/属性与状态/抽出鞘+的,含'+'残留符号;形容词误作节点
31088,拥挤的,V2融合世界标签体系/通用分类标签/属性与状态/拥挤的,形容词误作节点
31093,断了+的,V2融合世界标签体系/通用分类标签/属性与状态/断了+的,含'+'残留符号;形容词误作节点
31094,新+的,V2融合世界标签体系/通用分类标签/属性与状态/新+的,含'+'残留符号;形容词误作节点
31096,新生的,V2融合世界标签体系/通用分类标签/属性与状态/新生的,形容词误作节点
31114,时髦+的,V2融合世界标签体系/通用分类标签/属性与状态/时髦+的,含'+'残留符号;形容词误作节点
31116,明亮的,V2融合世界标签体系/通用分类标签/属性与状态/明亮的,形容词误作节点
31117,明亮的,V2融合世界标签体系/通用分类标签/属性与状态/明亮的,形容词误作节点
31120,暴风雨的,V2融合世界标签体系/通用分类标签/属性与状态/暴风雨的,形容词误作节点
31121,有光泽的,V2融合世界标签体系/通用分类标签/属性与状态/有光泽的,形容词误作节点
31122,有条纹的,V2融合世界标签体系/通用分类标签/属性与状态/有条纹的,形容词误作节点
31123,有某种毛发的,V2融合世界标签体系/通用分类标签/属性与状态/有某种毛发的,形容词误作节点
31124,有甜味+的,V2融合世界标签体系/通用分类标签/属性与状态/有甜味+的,含'+'残留符号;形容词误作节点
31125,有趣的,V2融合世界标签体系/通用分类标签/属性与状态/有趣的,形容词误作节点
31126,有雾+的,V2融合世界标签体系/通用分类标签/属性与状态/有雾+的,含'+'残留符号;形容词误作节点
31127,有雾的,V2融合世界标签体系/通用分类标签/属性与状态/有雾的,形容词误作节点
31128,有风的,V2融合世界标签体系/通用分类标签/属性与状态/有风的,形容词误作节点
31129,木+的,V2融合世界标签体系/通用分类标签/属性与状态/木+的,含'+'残留符号;形容词误作节点
31130,权威+的,V2融合世界标签体系/通用分类标签/属性与状态/权威+的,含'+'残留符号;形容词误作节点
31135,染色的,V2融合世界标签体系/通用分类标签/属性与状态/染色的,形容词误作节点
31140,武装的,V2融合世界标签体系/通用分类标签/属性与状态/武装的,形容词误作节点
31141,气温高+的,V2融合世界标签体系/通用分类标签/属性与状态/气温高+的,含'+'残留符号;形容词误作节点
31142,水晶+的,V2融合世界标签体系/通用分类标签/属性与状态/水晶+的,含'+'残留符号;形容词误作节点
31143,沙质的,V2融合世界标签体系/通用分类标签/属性与状态/沙质的,形容词误作节点
31144,沙质的,V2融合世界标签体系/通用分类标签/属性与状态/沙质的,形容词误作节点
31145,沿岸+的,V2融合世界标签体系/通用分类标签/属性与状态/沿岸+的,含'+'残留符号;形容词误作节点
31146,沿海的,V2融合世界标签体系/通用分类标签/属性与状态/沿海的,形容词误作节点
31154,活的,V2融合世界标签体系/通用分类标签/属性与状态/活的,形容词误作节点
31155,浅紫色的,V2融合世界标签体系/通用分类标签/属性与状态/浅紫色的,形容词误作节点
31158,深褐色+的,V2融合世界标签体系/通用分类标签/属性与状态/深褐色+的,含'+'残留符号;形容词误作节点
31159,混合的,V2融合世界标签体系/通用分类标签/属性与状态/混合的,形容词误作节点
31165,热带+的,V2融合世界标签体系/通用分类标签/属性与状态/热带+的,含'+'残留符号;形容词误作节点
31172,狭窄+的,V2融合世界标签体系/通用分类标签/属性与状态/狭窄+的,含'+'残留符号;形容词误作节点
31173,狭窄的,V2融合世界标签体系/通用分类标签/属性与状态/狭窄的,形容词误作节点
31174,王室+的,V2融合世界标签体系/通用分类标签/属性与状态/王室+的,含'+'残留符号;形容词误作节点
31180,生物+的,V2融合世界标签体系/通用分类标签/属性与状态/生物+的,含'+'残留符号;形容词误作节点
31181,生物学的,V2融合世界标签体系/通用分类标签/属性与状态/生物学的,形容词误作节点
31182,生疏+的,V2融合世界标签体系/通用分类标签/属性与状态/生疏+的,含'+'残留符号;形容词误作节点
31183,生锈+的,V2融合世界标签体系/通用分类标签/属性与状态/生锈+的,含'+'残留符号;形容词误作节点
31185,短+的,V2融合世界标签体系/通用分类标签/属性与状态/短+的,含'+'残留符号;形容词误作节点
31186,短+的,V2融合世界标签体系/通用分类标签/属性与状态/短+的,含'+'残留符号;形容词误作节点
31187,秃头的,V2融合世界标签体系/通用分类标签/属性与状态/秃头的,形容词误作节点
31188,秃头的,V2融合世界标签体系/通用分类标签/属性与状态/秃头的,形容词误作节点
31190,稳定的,V2融合世界标签体系/通用分类标签/属性与状态/稳定的,形容词误作节点
31191,稳定的,V2融合世界标签体系/通用分类标签/属性与状态/稳定的,形容词误作节点
31219,细+的,V2融合世界标签体系/通用分类标签/属性与状态/细+的,含'+'残留符号;形容词误作节点
31220,经验丰富的,V2融合世界标签体系/通用分类标签/属性与状态/经验丰富的,形容词误作节点
31222,结霜的,V2融合世界标签体系/通用分类标签/属性与状态/结霜的,形容词误作节点
31228,英俊的,V2融合世界标签体系/通用分类标签/属性与状态/英俊的,形容词误作节点
31229,英俊的,V2融合世界标签体系/通用分类标签/属性与状态/英俊的,形容词误作节点
31235,赤膊的,V2融合世界标签体系/通用分类标签/属性与状态/裸露/赤膊的,形容词误作节点
31274,赤膊的,V2融合世界标签体系/通用分类标签/属性与状态/赤膊的,形容词误作节点
31275,赤膊的,V2融合世界标签体系/通用分类标签/属性与状态/赤膊的,形容词误作节点
31284,郁郁葱葱的,V2融合世界标签体系/通用分类标签/属性与状态/郁郁葱葱的,形容词误作节点
31286,金+的,V2融合世界标签体系/通用分类标签/属性与状态/金+的,含'+'残留符号;形容词误作节点
31287,长+的,V2融合世界标签体系/通用分类标签/属性与状态/长+的,含'+'残留符号;形容词误作节点
31290,青少年+的,V2融合世界标签体系/通用分类标签/属性与状态/青少年+的,含'+'残留符号;形容词误作节点
31292,高+的,V2融合世界标签体系/通用分类标签/属性与状态/高+的,含'+'残留符号;形容词误作节点
31295,黑暗+的,V2融合世界标签体系/通用分类标签/属性与状态/黑暗+的,含'+'残留符号;形容词误作节点
31296,黑白+的,V2融合世界标签体系/通用分类标签/属性与状态/黑白+的,含'+'残留符号;形容词误作节点
31317,一对,V2融合世界标签体系/通用分类标签/时间数量与度量/一定量/整数/手指/二/一对,量词/数字误作节点
31350,小的,V2融合世界标签体系/通用分类标签/时间数量与度量/不定量/少量/小的,形容词误作节点
31387,共同+的,V2融合世界标签体系/通用分类标签/时间数量与度量/共同+的,含'+'残留符号;形容词误作节点
31398,几个+的,V2融合世界标签体系/通用分类标签/时间数量与度量/几个+的,含'+'残留符号;形容词误作节点
31418,一个星期,V2融合世界标签体系/通用分类标签/时间数量与度量/基本量/一段时间/一个星期,量词/数字误作节点
31473,大+的,V2融合世界标签体系/通用分类标签/时间数量与度量/大+的,含'+'残留符号;形容词误作节点
31686,有保护能力的,V2融合世界标签体系/通用分类标签/材料与物质/化合物/有保护能力的,形容词误作节点
31774,干+的,V2融合世界标签体系/通用分类标签/材料与物质/干+的,含'+'残留符号;形容词误作节点
31945,锋利的,V2融合世界标签体系/通用分类标签/材料与物质/锋利的,形容词误作节点
31951,一块土地,V2融合世界标签体系/通用分类标签/知识与学科/一块土地,量词/数字误作节点
31952,一块地,V2融合世界标签体系/通用分类标签/知识与学科/一块土地/一块地,量词/数字误作节点
32090,地理学+的,V2融合世界标签体系/通用分类标签/知识与学科/地理学+的,含'+'残留符号;形容词误作节点
32239,灰白的,V2融合世界标签体系/通用分类标签/知识与学科/灰白的,形容词误作节点
32328,弯曲的,V2融合世界标签体系/通用分类标签/知识与学科/知识/才智/天资/天赋/捐赠基金/弯曲的,形容词误作节点
33055,武术性的,V2融合世界标签体系/IP 分类标签/真人与人物 IP/科学文化人物/作家/诗人/武术性的,形容词误作节点
33071,专科院校的,V2融合世界标签体系/IP 分类标签/真人与人物 IP/科学文化人物/教育家/专科院校的,形容词误作节点
